"id","file","title","extension","width","height","ratio","orientation","sizeMB","suggestedExhibition","inferredTags","priorityScore","recommendation"
"atelier-girl","画室女.png","画室女",".png","941","1672","0.56","portrait","2.05","Atelier Hours / 画室时刻","atelier","96","strong-candidate"
"blue-white-atelier-girl","蓝白画室少女.png","蓝白画室少女",".png","2160","3840","0.56","portrait","9.95","Atelier Hours / 画室时刻","mist-blue;atelier","96","strong-candidate"
"afternoon-atelier-tidying","午后画室整理时刻.png","午后画室整理时刻",".png","941","1672","0.56","portrait","2.81","Atelier Hours / 画室时刻","atelier","96","strong-candidate"
"morning-room-tidying-girl","晨间整理房间的少女.png","晨间整理房间的少女",".png","941","1672","0.56","portrait","2.2","Blue Rooms / 蓝调房间","room","96","strong-candidate"
"quiet-girl-reading-letter-by-window","窗边看信的安静少女.png","窗边看信的安静少女",".png","941","1672","0.56","portrait","2.04","Blue Rooms / 蓝调房间","review","96","strong-candidate"
"pink-rooftop","粉色天台.png","粉色天台",".png","1122","1402","0.8","portrait","1.9","Blue Rooms / 蓝调房间","soft-pink","96","strong-candidate"
"reading-corner-before-dusk","黄昏前的阅读角落.png","黄昏前的阅读角落",".png","941","1672","0.56","portrait","2.36","Blue Rooms / 蓝调房间","dusk;amber;room","96","strong-candidate"
"warm-brown-attic-library","旧书阁楼·暖棕文学.png","旧书阁楼·暖棕文学",".png","941","1672","0.56","portrait","2.02","Blue Rooms / 蓝调房间","amber;room","96","strong-candidate"
"warm-orange-dusk-rooftop","暖橙黄昏·天台风.png","暖橙黄昏·天台风",".png","941","1672","0.56","portrait","1.9","Blue Rooms / 蓝调房间","dusk;amber","96","strong-candidate"
"green-apple-kitchen-spring-afternoon","青苹果厨房·春日午后.png","青苹果厨房·春日午后",".png","941","1672","0.56","portrait","2.17","Blue Rooms / 蓝调房间","spring;kitchen","96","strong-candidate"
"morning-kitchen-sweet-daily","清晨厨房·生活感甜系.png","清晨厨房·生活感甜系",".png","941","1672","0.56","portrait","1.95","Blue Rooms / 蓝调房间","morning;kitchen","96","strong-candidate"
"morning-window-reading-room-0","清晨窗边阅读房间0.png","清晨窗边阅读房间0",".png","941","1672","0.56","portrait","2.26","Blue Rooms / 蓝调房间","morning;room","96","strong-candidate"
"morning-window-reading-room-1","清晨窗边阅读房间1.png","清晨窗边阅读房间1",".png","941","1672","0.56","portrait","2.57","Blue Rooms / 蓝调房间","morning;room","96","strong-candidate"
"cool-sky-mood","清冷天空感.png","清冷天空感",".png","941","1672","0.56","portrait","1.98","Blue Rooms / 蓝调房间","mist-blue","96","strong-candidate"
"afternoon-baking-kitchen","午后烘焙小厨房.png","午后烘焙小厨房",".png","941","1672","0.56","portrait","2.26","Blue Rooms / 蓝调房间","kitchen","96","strong-candidate"
