slug,originalSlug,sourcePath,titleZh,exhibition,width,height,ratio,priorityScore,suggestedExhibition,inferredTags
morning-room-tidying-girl,morning-room-tidying-girl,E:\美图\晨间整理房间的少女.png,晨间整理房间的少女,blue-rooms,941,1672,0.56,96,Blue Rooms / 蓝调房间,room
quiet-girl-reading-letter-by-window,quiet-girl-reading-letter-by-window,E:\美图\窗边看信的安静少女.png,窗边看信的安静少女,blue-rooms,941,1672,0.56,96,Blue Rooms / 蓝调房间,review
green-apple-kitchen-spring-afternoon,green-apple-kitchen-spring-afternoon,E:\美图\青苹果厨房·春日午后.png,青苹果厨房·春日午后,blue-rooms,941,1672,0.56,96,Blue Rooms / 蓝调房间,spring;kitchen
morning-kitchen-sweet-daily,morning-kitchen-sweet-daily,E:\美图\清晨厨房·生活感甜系.png,清晨厨房·生活感甜系,blue-rooms,941,1672,0.56,96,Blue Rooms / 蓝调房间,morning;kitchen
morning-window-reading-room-0,morning-window-reading-room-0,E:\美图\清晨窗边阅读房间0.png,清晨窗边阅读房间0,blue-rooms,941,1672,0.56,96,Blue Rooms / 蓝调房间,morning;room
morning-window-reading-room-1,morning-window-reading-room-1,E:\美图\清晨窗边阅读房间1.png,清晨窗边阅读房间1,blue-rooms,941,1672,0.56,96,Blue Rooms / 蓝调房间,morning;room
afternoon-baking-kitchen,afternoon-baking-kitchen,E:\美图\午后烘焙小厨房.png,午后烘焙小厨房,blue-rooms,941,1672,0.56,96,Blue Rooms / 蓝调房间,kitchen
summer-balcony-work-corner,summer-balcony-work-corner,E:\美图\夏日阳台工作角.png,夏日阳台工作角,blue-rooms,941,1672,0.56,96,Blue Rooms / 蓝调房间,review
moonlight-gauze-dress-1,moonlight-gauze-dress-1,E:\美图\月光纱裙1.png,月光纱裙1,blue-rooms,941,1672,0.56,96,Blue Rooms / 蓝调房间,night
vintage-film-flower-shop-girl,vintage-film-flower-shop-girl,E:\美图\复古胶片·花店少女.png,复古胶片·花店少女,glasshouse-dreams,941,1672,0.56,96,Glasshouse Dreams / 玻璃温室梦,review
red-maple-night-rain-girl,red-maple-night-rain-girl,E:\美图\红枫夜雨少女.png,红枫夜雨少女,rain-archive,941,1672,0.56,96,Rain Archive / 雨的档案,rainy;night;muted-red
morning-misty-bedroom,morning-misty-bedroom,E:\美图\清晨薄雾卧室.png,清晨薄雾卧室,rain-archive,941,1672,0.56,96,Rain Archive / 雨的档案,morning;room
winter-white-window-silver-hair,winter-white-window-silver-hair,E:\美图\冬日白窗与银发少女.png,冬日白窗与银发少女,seasonal-stations,941,1672,0.56,96,Seasonal Stations / 季节候车室,winter
snow-night-rooftop-white-hair,snow-night-rooftop-white-hair,E:\美图\雪夜天台·白发少女.png,雪夜天台·白发少女,seasonal-stations,940,1672,0.56,96,Seasonal Stations / 季节候车室,winter;night
gpt-image-2-medium-b-9-16,gpt-image-2-medium-b-9-16,E:\美图\蓝墨彼岸花少女.png,gpt-image-2 (medium)_b_原创动漫少女插画，9_16竖版，圆珠笔绘,atelier-hours,941,1672,0.56,88,Atelier Hours / 画室时刻,atelier
gpt-image-2-medium-b-9-16-2,gpt-image-2-medium-b-9-16,E:\美图\深海水母梦少女.png,gpt-image-2 (medium)_b_原创动漫少女圆珠笔风格插画，9_16竖版,atelier-hours,941,1672,0.56,88,Atelier Hours / 画室时刻,atelier
gpt-image-2-medium-b,gpt-image-2-medium-b,E:\美图\星空长椅银发少女.png,gpt-image-2 (medium)_b_友利奈绪，银发蓝瞳少女，穿红色学院制服，,blue-rooms,941,1672,0.56,88,Blue Rooms / 蓝调房间,mist-blue;muted-red
pale-orange-evening-mist-chestnut-girl,pale-orange-evening-mist-chestnut-girl,E:\美图\淡橙夕雾·栗色少女.png,淡橙夕雾·栗色少女,holding-room,941,1672,0.56,88,Needs Review / 待人工判断,dusk;amber
abandoned-classroom-evening-light,abandoned-classroom-evening-light,E:\美图\废弃教室·夕光少女.png,废弃教室·夕光少女,holding-room,940,1672,0.56,88,Needs Review / 待人工判断,dusk
amber-morning-blonde-girl,amber-morning-blonde-girl,E:\美图\琥珀晨光·金发少女.png,琥珀晨光·金发少女,holding-room,941,1672,0.56,88,Needs Review / 待人工判断,morning;amber
1,1,E:\美图\虾米1.png,虾米1,holding-room,941,1672,0.56,88,Needs Review / 待人工判断,review
chatgpt-image-2026-5-10-14-40-28,chatgpt-image-2026-5-10-14-40-28,E:\美图\薄荷温室回眸少女.png,ChatGPT Image 2026年5月10日 14_40_28,holding-room,941,1672,0.56,80,Needs Review / 待人工判断,review
chatgpt-image-2026-5-10-14-46-48,chatgpt-image-2026-5-10-14-46-48,E:\美图\月海黑发耳饰少女.png,ChatGPT Image 2026年5月10日 14_46_48,holding-room,941,1672,0.56,80,Needs Review / 待人工判断,review
chatgpt-image-2026-5-10-15-56-52,chatgpt-image-2026-5-10-15-56-52,E:\美图\废墟窗边的疲惫旅人.png,ChatGPT Image 2026年5月10日 15_56_52,holding-room,941,1672,0.56,80,Needs Review / 待人工判断,review
chatgpt-image-2026-5-12-01-52-12,chatgpt-image-2026-5-12-01-52-12,E:\美图\星蓝水晶裙少女.png,ChatGPT Image 2026年5月12日 01_52_12,holding-room,941,1672,0.56,80,Needs Review / 待人工判断,review
chatgpt-image-2026-5-12-01-53-56,chatgpt-image-2026-5-12-01-53-56,E:\美图\雪晶球与白发少女.png,ChatGPT Image 2026年5月12日 01_53_56,holding-room,941,1672,0.56,80,Needs Review / 待人工判断,review
chatgpt-image-2026-5-13-00-08-14,chatgpt-image-2026-5-13-00-08-14,E:\美图\暖尘旧屋里的沉默少女.png,ChatGPT Image 2026年5月13日 00_08_14,holding-room,941,1672,0.56,80,Needs Review / 待人工判断,review
chatgpt-image-2026-5-5-23-53-24,chatgpt-image-2026-5-5-23-53-24,E:\美图\夏日阳台白裙少女.png,ChatGPT Image 2026年5月5日 23_53_24,holding-room,941,1672,0.56,80,Needs Review / 待人工判断,review
gpt-image-2-medium-b-2,gpt-image-2-medium-b,E:\美图\旧屋晨尘蜷坐少女.png,gpt-image-2 (medium)_b_原创高级日系二次元半写实插画，竖屏全身构,holding-room,941,1672,0.56,80,Needs Review / 待人工判断,review
gpt-image-2-medium-b-9-16-3,gpt-image-2-medium-b-9-16,E:\美图\黑白构成平衡.png,gpt-image-2 (medium)_b_原创高级现代构成海报，竖版_9_16，浅,holding-room,941,1672,0.56,80,Needs Review / 待人工判断,review
gpt-image-2-medium-b-9-16-4,gpt-image-2-medium-b-9-16,E:\美图\清晨洗衣房少女.png,gpt-image-2 (medium)_b_原创日系治愈系动漫插画，9_16竖版，高,holding-room,941,1672,0.56,80,Needs Review / 待人工判断,review
image-2,image-2,E:\美图\紫夜星牌少女.png,Image 2,holding-room,2160,3840,0.56,80,Needs Review / 待人工判断,review
artwork-18cfb65dc9,artwork-18cfb65dc9,E:\美图\手绘涂鸦风\4K\白金色利落短发少女.png,白金色利落短发少女,atelier-hours,2160,3840,0.56,78,Atelier Hours / 画室时刻,review
artwork-2d46463fc5,artwork-2d46463fc5,E:\美图\手绘涂鸦风\薄荷绿短发.png,薄荷绿短发,atelier-hours,941,1672,0.56,78,Atelier Hours / 画室时刻,soft-green
artwork-17a54614b2,artwork-17a54614b2,E:\美图\手绘涂鸦风\4K\赤茶色麻花辫少女.png,赤茶色麻花辫少女,atelier-hours,2160,3840,0.56,78,Atelier Hours / 画室时刻,review
artwork-bca5b0e201,artwork-bca5b0e201,E:\美图\手绘涂鸦风\4K\淡紫色短卷发少女.png,淡紫色短卷发少女,atelier-hours,2160,3840,0.56,78,Atelier Hours / 画室时刻,review
artwork-4a826dd643,artwork-4a826dd643,E:\美图\手绘涂鸦风\粉色丸子头.png,粉色丸子头,atelier-hours,941,1672,0.56,78,Atelier Hours / 画室时刻,soft-pink
artwork-bac3c2d73c,artwork-bac3c2d73c,E:\美图\手绘涂鸦风\黑紫色高马尾.png,黑紫色高马尾,atelier-hours,941,1672,0.56,78,Atelier Hours / 画室时刻,review
