"Index","OldPath","NewPath","NewName"
"1","E:\美图\ChatGPT Image 2026年5月10日 01_38_26.png","E:\美图\白龙与读书少女.png","白龙与读书少女.png"
"2","E:\美图\ChatGPT Image 2026年5月10日 01_40_13.png","E:\美图\温室龙眠午后.png","温室龙眠午后.png"
"3","E:\美图\ChatGPT Image 2026年5月10日 14_40_28.png","E:\美图\薄荷温室回眸少女.png","薄荷温室回眸少女.png"
"4","E:\美图\ChatGPT Image 2026年5月10日 14_46_48.png","E:\美图\月海黑发耳饰少女.png","月海黑发耳饰少女.png"
"5","E:\美图\ChatGPT Image 2026年5月10日 15_56_52.png","E:\美图\废墟窗边的疲惫旅人.png","废墟窗边的疲惫旅人.png"
"6","E:\美图\ChatGPT Image 2026年5月10日 16_16_39.png","E:\美图\蓝夜自习室侧影.png","蓝夜自习室侧影.png"
"7","E:\美图\ChatGPT Image 2026年5月10日 16_23_21.png","E:\美图\深夜课桌旁的沉默少女.png","深夜课桌旁的沉默少女.png"
"8","E:\美图\ChatGPT Image 2026年5月12日 01_52_12.png","E:\美图\星蓝水晶裙少女.png","星蓝水晶裙少女.png"
"9","E:\美图\ChatGPT Image 2026年5月12日 01_53_56.png","E:\美图\雪晶球与白发少女.png","雪晶球与白发少女.png"
"10","E:\美图\ChatGPT Image 2026年5月13日 00_08_14.png","E:\美图\暖尘旧屋里的沉默少女.png","暖尘旧屋里的沉默少女.png"
"11","E:\美图\ChatGPT Image 2026年5月5日 23_53_24.png","E:\美图\夏日阳台白裙少女.png","夏日阳台白裙少女.png"
"12","E:\美图\gpt-image-2 (medium)_b_原创动漫少女圆珠笔风格插画，9_16竖版.png","E:\美图\深海水母梦少女.png","深海水母梦少女.png"
"13","E:\美图\gpt-image-2 (medium)_b_原创动漫少女插画，9_16竖版，圆珠笔绘.png","E:\美图\蓝墨彼岸花少女.png","蓝墨彼岸花少女.png"
"14","E:\美图\gpt-image-2 (medium)_b_原创幻想意象插画，竖版4_5。寂静雪地中.png","E:\美图\雪海拖纱少女.png","雪海拖纱少女.png"
"15","E:\美图\gpt-image-2 (medium)_b_原创日系二次元半写实插画，竖屏全身构图。.png","E:\美图\暖尘阁楼蜷坐少女.png","暖尘阁楼蜷坐少女.png"
"16","E:\美图\gpt-image-2 (medium)_b_原创日系治愈系动漫插画，9_16竖版，高.png","E:\美图\清晨洗衣房少女.png","清晨洗衣房少女.png"
"17","E:\美图\gpt-image-2 (medium)_b_原创日系清透插画，宽幅横版。夏末河岸边，.png","E:\美图\浅滩龙影少女.png","浅滩龙影少女.png"
"18","E:\美图\gpt-image-2 (medium)_b_原创高级日系二次元半写实插画，竖屏全身构.png","E:\美图\旧屋晨尘蜷坐少女.png","旧屋晨尘蜷坐少女.png"
"19","E:\美图\gpt-image-2 (medium)_b_原创高级现代构成海报，竖版_9_16，浅.png","E:\美图\黑白构成平衡.png","黑白构成平衡.png"
"20","E:\美图\gpt-image-2 (medium)_b_友利奈绪，银发蓝瞳少女，穿红色学院制服，.png","E:\美图\星空长椅银发少女.png","星空长椅银发少女.png"
"21","E:\美图\gpt-image-2 (medium)_b_友利奈绪，银灰色长发，蓝色眼睛，标志性双.png","E:\美图\红制服走廊少女.png","红制服走廊少女.png"
"22","E:\美图\Image 2.png","E:\美图\紫夜星牌少女.png","紫夜星牌少女.png"
"23","E:\美图\4K图\Image 1 (1).png","E:\美图\4K图\墨蓝山河白发行者.png","墨蓝山河白发行者.png"
"24","E:\美图\4K图\Image 2.png","E:\美图\4K图\黑白山水长发少女.png","黑白山水长发少女.png"
"25","E:\美图\4K图\Image 3.png","E:\美图\4K图\霓蓝山城白发少女.png","霓蓝山城白发少女.png"
"26","E:\美图\4K图\Image 4.png","E:\美图\4K图\霓虹屏幕蓝发少女.png","霓虹屏幕蓝发少女.png"
"27","E:\美图\传统瓷器美学\ChatGPT Image 2026年5月8日 13_14_13.png","E:\美图\传统瓷器美学\天青庭院茶席少女.png","天青庭院茶席少女.png"
"28","E:\美图\传统瓷器美学\gpt-image-2 (medium)_b_原创二次元半写实插画，9_16竖屏，全身.png","E:\美图\传统瓷器美学\黑伞赤雨少女.png","黑伞赤雨少女.png"
"29","E:\美图\传统瓷器美学\gpt-image-2 (medium)_b_原创高级日系动漫插画，9_16竖屏，全身.png","E:\美图\传统瓷器美学\冰阶白发少女.png","冰阶白发少女.png"
"30","E:\美图\动漫幻想图\ChatGPT Image 2026年5月9日 00_01_01.png","E:\美图\动漫幻想图\银蓝未来实验室少女.png","银蓝未来实验室少女.png"
"31","E:\美图\动漫幻想图\gpt-image-2 (medium)_b_原创二次元半写实厚涂插画，9_16竖屏， (1).png","E:\美图\动漫幻想图\红枫雨夜白发少女.png","红枫雨夜白发少女.png"
"32","E:\美图\动漫幻想图\gpt-image-2 (medium)_b_原创二次元半写实厚涂插画，9_16竖屏，.png","E:\美图\动漫幻想图\樱红雨街回眸少女.png","樱红雨街回眸少女.png"
"33","E:\美图\动漫幻想图\Image 2 (2).png","E:\美图\动漫幻想图\红叶灯下白发少女.png","红叶灯下白发少女.png"
"34","E:\美图\新陶瓷美学\釉色的黄色系\gpt-image-2 (medium)_b_原创高级日系动漫插画，9_16竖屏，全身.png","E:\美图\新陶瓷美学\釉色的黄色系\金瓷庭院长裙少女.png","金瓷庭院长裙少女.png"
"35","E:\美图\眼睛特写图\横板\Image 3 (1).png","E:\美图\眼睛特写图\横板\冰蓝星泪特写.png","冰蓝星泪特写.png"
"36","E:\美图\眼镜镜片反射\gpt-image-2 (medium)_b_An_extremely_close-u.png","E:\美图\眼镜镜片反射\星镜占星眼镜少女.png","星镜占星眼镜少女.png"
"37","E:\美图\眼镜镜片反射\gpt-image-2 (medium)_b_A唯美(aesthetic)_conce.png","E:\美图\眼镜镜片反射\蓝发镜片水母少女.png","蓝发镜片水母少女.png"
"38","E:\美图\眼镜镜片反射\gpt-image-2 (medium)_b_A唯美(aesthetic)_high-.png","E:\美图\眼镜镜片反射\花影镜片银发少女.png","花影镜片银发少女.png"
"39","E:\美图\简约壁纸图\ChatGPT Image 2026年5月2日 23_51_34.png","E:\美图\简约壁纸图\海边车站独坐少女.png","海边车站独坐少女.png"
"40","E:\美图\铅笔线稿图\ChatGPT Image 2026年5月16日 16_41_05.png","E:\美图\铅笔线稿图\金黑几何线稿少女.png","金黑几何线稿少女.png"
"41","E:\美图\铅笔线稿图\gpt-image-2 (medium)_b_An_original_high-end.png","E:\美图\铅笔线稿图\暗金尘光蜷坐少女.png","暗金尘光蜷坐少女.png"
"42","E:\美图\铅笔线稿图\gpt-image-2 (medium)_b_原创日系二次元半写实插画，9_16竖屏，.png","E:\美图\铅笔线稿图\雪光窗边侧颜少女.png","雪光窗边侧颜少女.png"
"43","E:\美图\铅笔线稿图\gpt-image-2 (medium)_b_原创高级日系二次元半写实插画，竖屏全身构.png","E:\美图\铅笔线稿图\暖棕阁楼疲惫少女.png","暖棕阁楼疲惫少女.png"
"44","E:\美图\铅笔线稿图\gpt-image-2 (medium)_b_原创高级日系二次元插画，9_16竖屏，半.png","E:\美图\铅笔线稿图\白瓷茶席沉睡少女.png","白瓷茶席沉睡少女.png"
